issue,title,severity,severity_basis,verification,file
147,NDASH-147 — Year comparison drops minus signs from counts and percentages,Medium,recorded,LIVE PASS,NDASH-147-office-comparison-negative-sign.md
148,NDASH-148 — Operations Trends selected-office scope,High,recorded,LIVE PASS,NDASH-148-operations-trends-office-scope.md
149,NDASH-149 — Operations YTD range and cancellation period,High,recorded,LIVE PASS,NDASH-149-operations-ytd-period.md
150,NDASH-150 — Operations custom calendar-month scope,High,recorded,LIVE PASS,NDASH-150-operations-custom-months.md
151,NDASH-151 — Operations grouping capability,Medium,recorded,LIVE PASS,NDASH-151-operations-grouping-capability.md
152,NDASH-152 — Provider detail selection and report scope,Medium,recorded,LIVE PASS,NDASH-152-provider-detail-identity.md
153,NDASH-153 — Marketing multi-office spending scope,High,recorded,LIVE PASS,NDASH-153-marketing-office-scope.md
154,NDASH-154 — Marketing credit field readback,Medium,recorded,LIVE PASS,NDASH-154-marketing-credit-readback.md
155,NDASH-155 — Combined Expense Overview filter capability,High,recorded,LIVE PASS,NDASH-155-expense-overview-filter-capability.md
156,NDASH-156 — Expense Overview Payment Source / Draft capability,High,recorded,LIVE PASS,NDASH-156-expense-payment-status-capability.md
157,NDASH-157 — Expense category pie completeness,Medium,recorded,LIVE PASS,NDASH-157-expense-category-completeness.md
